Time,Voltage,Controller
80741,511,1023
80942,511,1023
81143,511,1023
81344,510,1023
81545,511,1023
81745,511,1023
81946,510,1023
82147,510,1023
82349,511,1022
82549,511,1023
82750,511,1023
82951,511,1023
83151,511,1023
83352,511,1023
83554,511,1022
83755,511,1023
83955,512,1022
84156,511,1022
84357,511,1023
84557,511,1023
84758,511,1023
84960,511,1023
85160,511,1023
85361,511,1023
85562,511,1023
85763,511,1023
85963,511,1023
86165,511,1022
86366,511,1023
86566,511,1023
86767,511,1023
86968,511,1023
87169,512,1023
87370,511,1023
87571,512,1023
87772,512,1023
87972,512,1023
88173,512,1023
88374,512,1022
88574,511,1023
88776,511,1023
88977,511,1023
89178,512,1022
89378,512,1023
89579,512,1023
89780,512,1023
89981,512,1023
90182,511,1023
90383,511,1023
90584,512,1023
90784,512,1023
90985,512,1023
91187,512,1023
91387,512,1023
91588,512,1023
91789,512,1021
91990,512,1023
92190,512,1023
92392,512,1022
92593,512,1023
92793,514,1023
92994,512,1023
93195,512,1023
93395,512,1023
93596,512,1023
93798,512,1023
93999,512,1023
94199,512,1023
94400,512,1023
94601,512,1023
94801,512,1023
95003,512,1023
95204,512,1023
95405,512,1023
95605,512,1023
95806,512,1022
96007,512,1023
96208,512,1022
96409,512,1023
96610,512,1023
96811,512,1022
97011,513,1023
97212,512,1023
97413,513,1023
97614,513,1023
97815,513,1023
98016,513,1023
98216,513,1023
98417,513,1023
98618,513,1023
98820,513,1022
99020,513,1023
99221,513,1023
99422,513,1023
99622,513,1023
99823,513,1022
100025,513,1022
100226,513,1023
100426,513,1023
100627,513,1022
100828,513,1023
101029,513,1023
101230,513,1023
101431,513,1023
101632,513,1023
101832,513,1023
102034,513,1023
102235,512,1023
102435,513,1023
102636,513,1023
102837,513,1022
103038,513,1023
103239,513,1023
103440,513,1023
103641,515,1023
103841,513,1023
104043,512,1023
104244,513,1023
104444,513,1023
104645,513,1023
104846,513,1023
105048,513,1021
105248,513,1023
105449,513,1023
105650,513,1023
105850,513,1023
106052,513,1022
106253,513,1023
106454,513,1023
106654,513,1023
106855,513,1023
107057,513,1022
107257,513,1023
107458,513,1023
107659,512,1022
107859,513,1023
108061,513,1023
108262,513,1023
108463,513,1023
108663,513,1023
108864,513,1023
109066,513,1021
109266,513,1023
109467,513,1023
109668,512,1023
109869,513,1023
110070,513,1023
110271,513,1023
110472,513,1023
110672,513,1023
110873,513,1022
111075,513,1023
111276,514,1023
111476,513,1023
111677,513,1023
111878,513,1023
112079,513,1023
112280,513,1023
112481,514,1022
112681,513,1023
112882,513,1023
113084,515,1023
113285,513,1022
113485,513,1023
113686,513,1023
113887,513,1023
114088,514,1023
114289,513,1023
114490,515,1023
114691,513,1023
114891,513,1023
115093,513,1023
115294,513,1023
115494,513,1023
115695,514,1023
115896,513,1022
116098,513,1023
116298,513,1023
116499,513,1022
116700,514,1022
116900,513,1023
117102,514,1023
117303,514,1023
117504,514,1023
117704,514,1022
117905,514,1023
118107,514,1023
118307,514,1023
118508,514,1022
118709,514,1023
118909,514,1023
119111,514,1023
119312,514,1023
119513,514,1023
119713,514,1023
119914,514,1023
120116,514,1023
120316,514,1021
120517,514,1023
120718,514,1023
120919,514,1023
121120,514,1023
121321,514,1023
121522,514,1023
121722,514,1023
121923,514,1022
122125,514,1022
122326,514,1023
122526,514,1023
122727,514,1022
122928,514,1023
123129,514,1023
123330,514,1022
123531,514,1023
123731,514,1023
123932,514,1023
124134,513,1022
124335,514,1023
124535,514,1023
124736,514,1023
124937,514,1023
125138,514,1023
125339,514,1023
125540,515,1023
125741,514,1023
125941,514,1021
126143,514,1023
126344,514,1023
126544,514,1023
126745,515,1022
126946,514,1023
127148,514,1023
127348,514,1023
127549,514,1023
127750,514,1023
127950,514,1023
128152,514,1022
128353,514,1023
128553,514,1023
128754,514,1023
128955,514,1022
129157,514,1023
129357,514,1023
129558,514,1023
129759,514,1023
129959,514,1023
130161,513,1023
130362,513,1022
130563,514,1023
130763,514,1023
130964,516,1022
131166,514,1023
131366,516,1023
131567,514,1023
131768,514,1023
131969,514,1023
132170,514,1023
132371,514,1023
132572,514,1023
132772,514,1022
132973,514,1022
133175,514,1023
133376,514,1023
133576,514,1023
133777,514,1023
133978,514,1023
134179,514,1022
134380,514,1023
134581,514,1023
134781,514,1023
134982,514,1023
135184,514,1023
135385,514,1023
135585,514,1023
135786,514,1022
135987,514,1023
136188,514,1023
136389,514,1023
136590,514,1023
136791,514,1022
136991,514,1023
137193,514,1023
137394,514,1023
137594,514,1023
137795,514,1022
137996,514,1023
138198,514,1023
138398,515,1023
138599,514,1023
138800,513,1023
139000,514,1023
139202,514,1023
139403,514,1023
139603,514,1022
139804,514,1023
140005,514,1022
140207,516,1023
140407,514,1023
140608,514,1023
140809,514,1023
141009,514,1023
141211,514,1023
141412,514,1023
141613,515,1023
141813,514,1022
142014,514,1022
142216,514,1023
142416,516,1023
142617,515,1023
142818,514,1023
143019,515,1023
143220,515,1023
143421,514,1023
143622,514,1023
143822,515,1023
144023,516,1023
144225,514,1022
144425,514,1023
144626,515,1023
144827,514,1023
145028,514,1023
145229,514,1023
145430,515,1023
145631,515,1023
145831,515,1023
146032,514,1023
146234,514,1023
146435,514,1023
146635,514,1023
146836,515,1023
147037,514,1023
147238,515,1023
147439,515,1023
147640,515,1022
147841,517,1023
148041,514,1023
148243,515,1021
148444,515,1023
148644,515,1023
148845,514,1023
149046,515,1023
149248,515,1023
149448,515,1023
149649,514,1023
149850,515,1023
150050,515,1023
150252,515,1023
150453,515,1023
150653,515,1023
150854,515,1023
151055,515,1021
151257,514,1023
151457,515,1023
151658,515,1023
151859,515,1023
152059,515,1023
152261,515,1023
152462,515,1023
152663,515,1022
152863,515,1023
153064,515,1023
153266,515,1023
153466,515,1023
153667,515,1023
153868,515,1023
154068,515,1022
154270,515,1023
154471,515,1023
154672,515,1023
154872,515,1023
155073,515,1023
155275,515,1023
155475,515,1023
155676,514,1022
155877,515,1023
156078,514,1023
156279,515,1022
156480,515,1023
156681,515,1023
156881,515,1023
157082,515,1023
157284,517,1022
