Time (s) Run #2,"Angle, 004-000 (rad) Run #2","Angle, 670-231 (rad) Run #2",,,,,,,,,,,,,,,,,
5.25,-2.011,0.082,,,,,,,,,,,,,,,,,
5.3,-1.992,0.107,,,,,,,,,,,,,,,,,
5.35,-1.982,0.141,,,,,,,,,,,,,,,,,
5.4,-1.985,0.182,,,,,,,,,,,,,,,,,
5.45,-1.998,0.229,,,,,,,,,,,,,,,,,
5.5,-2.029,0.273,,,,,,,,,,,,,,,,,
5.55,-2.07,0.314,,,,,,,,,,,,,,,,,
5.6,-2.124,0.349,,,,,,,,,,,,,,,,,
5.65,-2.183,0.377,,,,,,,,,,,,,,,,,
5.7,-2.249,0.393,,,,,,,,,,,,,,,,,
5.75,-2.318,0.399,,,,,,,,,,,,,,,,,
5.8,-2.388,0.393,,,,,,,,,,,,,,,,,
5.85,-2.454,0.374,,,,,,,,,,,,,,,,,
5.9,-2.513,0.346,,,,,,,,,,,,,,,,,
5.95,-2.56,0.311,,,,,,,,,,,,,,,,,
6,-2.601,0.27,,,,,,,,,,,,,,,,,
6.05,-2.63,0.229,,,,,,,,,,,,,,,,,
6.1,-2.642,0.185,,,,,,,,,,,,,,,,,
6.15,-2.645,0.148,,,,,,,,,,,,,,,,,
6.2,-2.639,0.119,,,,,,,,,,,,,,,,,
6.25,-2.62,0.097,,,,,,,,,,,,,,,,,
6.3,-2.598,0.091,,,,,,,,,,,,,,,,,
6.35,-2.576,0.094,,,,,,,,,,,,,,,,,
6.4,-2.554,0.11,,,,,,,,,,,,,,,,,
6.45,-2.542,0.138,,,,,,,,,,,,,,,,,
6.5,-2.535,0.173,,,,,,,,,,,,,,,,,
6.55,-2.542,0.214,,,,,,,,,,,,,,,,,
6.6,-2.564,0.258,,,,,,,,,,,,,,,,,
6.65,-2.595,0.298,,,,,,,,,,,,,,,,,
6.7,-2.639,0.336,,,,,,,,,,,,,,,,,
6.75,-2.689,0.368,,,,,,,,,,,,,,,,,
6.8,-2.749,0.393,,,,,,,,,,,,,,,,,
6.85,-2.815,0.402,,,,,,,,,,,,,,,,,
6.9,-2.881,0.405,,,,,,,,,,,,,,,,,
6.95,-2.95,0.396,,,,,,,,,,,,,,,,,
7,-3.013,0.374,,,,,,,,,,,,,,,,,
7.05,-3.066,0.346,,,,,,,,,,,,,,,,,
7.1,-3.113,0.308,,,,,,,,,,,,,,,,,
7.15,-3.151,0.27,,,,,,,,,,,,,,,,,
7.2,-3.176,0.229,,,,,,,,,,,,,,,,,
7.25,-3.186,0.188,,,,,,,,,,,,,,,,,
7.3,-3.189,0.154,,,,,,,,,,,,,,,,,
7.35,-3.179,0.129,,,,,,,,,,,,,,,,,
7.4,-3.16,0.113,,,,,,,,,,,,,,,,,
7.45,-3.138,0.11,,,,,,,,,,,,,,,,,
7.5,-3.12,0.116,,,,,,,,,,,,,,,,,
7.55,-3.104,0.135,,,,,,,,,,,,,,,,,
7.6,-3.091,0.163,,,,,,,,,,,,,,,,,
7.65,-3.091,0.201,,,,,,,,,,,,,,,,,
