Time,Angle1,Angle2,,,,,,,,,,,,,,,,,
5.45,0.28,0.003,,,,,,,,,,,,,,,,,
5.5,0.28,0.003,,,,,,,,,,,,,,,,,
5.55,0.276,0.003,,,,,,,,,,,,,,,,,
5.6,0.273,0.003,,,,,,,,,,,,,,,,,
5.65,0.273,0.003,,,,,,,,,,,,,,,,,
5.7,0.273,0.003,,,,,,,,,,,,,,,,,
5.75,0.273,0.003,,,,,,,,,,,,,,,,,
5.8,0.27,0.003,,,,,,,,,,,,,,,,,
5.85,0.27,0.003,,,,,,,,,,,,,,,,,
5.9,0.27,0.003,,,,,,,,,,,,,,,,,
5.95,0.27,0.003,,,,,,,,,,,,,,,,,
6,0.27,0.003,,,,,,,,,,,,,,,,,
6.05,0.27,0.003,,,,,,,,,,,,,,,,,
6.1,0.27,0.003,,,,,,,,,,,,,,,,,
6.15,0.27,0.003,,,,,,,,,,,,,,,,,
6.2,0.27,0.003,,,,,,,,,,,,,,,,,
6.25,0.27,0.003,,,,,,,,,,,,,,,,,
6.3,0.267,0.003,,,,,,,,,,,,,,,,,
6.35,0.267,0.003,,,,,,,,,,,,,,,,,
6.4,0.267,0.003,,,,,,,,,,,,,,,,,
6.45,0.267,0.003,,,,,,,,,,,,,,,,,
6.5,0.267,0.003,,,,,,,,,,,,,,,,,
6.55,0.267,0.003,,,,,,,,,,,,,,,,,
6.6,0.267,0.003,,,,,,,,,,,,,,,,,
6.65,0.273,0.003,,,,,,,,,,,,,,,,,
6.7,0.283,0.006,,,,,,,,,,,,,,,,,
6.75,0.298,0.006,,,,,,,,,,,,,,,,,
6.8,0.317,0.009,,,,,,,,,,,,,,,,,
6.85,0.339,0.013,,,,,,,,,,,,,,,,,
6.9,0.368,0.013,,,,,,,,,,,,,,,,,
6.95,0.405,0.016,,,,,,,,,,,,,,,,,
7,0.446,0.016,,,,,,,,,,,,,,,,,
7.05,0.493,0.016,,,,,,,,,,,,,,,,,
7.1,0.54,0.016,,,,,,,,,,,,,,,,,
7.15,0.591,0.016,,,,,,,,,,,,,,,,,
7.2,0.644,0.019,,,,,,,,,,,,,,,,,
7.25,0.694,0.019,,,,,,,,,,,,,,,,,
7.3,0.748,0.019,,,,,,,,,,,,,,,,,
7.35,0.798,0.019,,,,,,,,,,,,,,,,,
7.4,0.851,0.019,,,,,,,,,,,,,,,,,
7.45,0.905,0.019,,,,,,,,,,,,,,,,,
7.5,0.958,0.019,,,,,,,,,,,,,,,,,
7.55,1.008,0.019,,,,,,,,,,,,,,,,,
7.6,1.062,0.019,,,,,,,,,,,,,,,,,
7.65,1.112,0.019,,,,,,,,,,,,,,,,,
7.7,1.166,0.019,,,,,,,,,,,,,,,,,
7.75,1.222,0.019,,,,,,,,,,,,,,,,,
7.8,1.279,0.019,,,,,,,,,,,,,,,,,
7.85,1.341,0.019,,,,,,,,,,,,,,,,,
7.9,1.404,0.019,,,,,,,,,,,,,,,,,
7.95,1.461,0.019,,,,,,,,,,,,,,,,,
8,1.521,0.019,,,,,,,,,,,,,,,,,
8.05,1.577,0.019,,,,,,,,,,,,,,,,,
8.1,1.63,0.019,,,,,,,,,,,,,,,,,
8.15,1.69,0.019,,,,,,,,,,,,,,,,,
8.2,1.744,0.019,,,,,,,,,,,,,,,,,
8.25,1.8,0.019,,,,,,,,,,,,,,,,,
8.3,1.85,0.019,,,,,,,,,,,,,,,,,
8.35,1.901,0.019,,,,,,,,,,,,,,,,,
8.4,1.954,0.019,,,,,,,,,,,,,,,,,
8.45,2.004,0.019,,,,,,,,,,,,,,,,,
8.5,2.051,0.019,,,,,,,,,,,,,,,,,
8.55,2.102,0.019,,,,,,,,,,,,,,,,,
8.6,2.149,0.019,,,,,,,,,,,,,,,,,
