Time,Angle1,Angle2,,,,,,,,,,,,,,,,,
5.15,-3.019,-0.16,,,,,,,,,,,,,,,,,
5.2,-3.041,-0.179,,,,,,,,,,,,,,,,,
5.25,-3.054,-0.198,,,,,,,,,,,,,,,,,
5.3,-3.063,-0.21,,,,,,,,,,,,,,,,,
5.35,-3.066,-0.22,,,,,,,,,,,,,,,,,
5.4,-3.069,-0.223,,,,,,,,,,,,,,,,,
5.45,-3.069,-0.223,,,,,,,,,,,,,,,,,
5.5,-3.072,-0.217,,,,,,,,,,,,,,,,,
5.55,-3.076,-0.207,,,,,,,,,,,,,,,,,
5.6,-3.085,-0.192,,,,,,,,,,,,,,,,,
5.65,-3.098,-0.176,,,,,,,,,,,,,,,,,
5.7,-3.116,-0.154,,,,,,,,,,,,,,,,,
5.75,-3.142,-0.132,,,,,,,,,,,,,,,,,
5.8,-3.17,-0.11,,,,,,,,,,,,,,,,,
5.85,-3.208,-0.088,,,,,,,,,,,,,,,,,
5.9,-3.248,-0.069,,,,,,,,,,,,,,,,,
5.95,-3.296,-0.053,,,,,,,,,,,,,,,,,
6,-3.343,-0.038,,,,,,,,,,,,,,,,,
6.05,-3.393,-0.028,,,,,,,,,,,,,,,,,
6.1,-3.446,-0.025,,,,,,,,,,,,,,,,,
6.15,-3.5,-0.022,,,,,,,,,,,,,,,,,
6.2,-3.553,-0.025,,,,,,,,,,,,,,,,,
6.25,-3.607,-0.031,,,,,,,,,,,,,,,,,
6.3,-3.657,-0.044,,,,,,,,,,,,,,,,,
6.35,-3.701,-0.06,,,,,,,,,,,,,,,,,
6.4,-3.745,-0.075,,,,,,,,,,,,,,,,,
6.45,-3.782,-0.097,,,,,,,,,,,,,,,,,
6.5,-3.814,-0.116,,,,,,,,,,,,,,,,,
6.55,-3.842,-0.135,,,,,,,,,,,,,,,,,
6.6,-3.861,-0.154,,,,,,,,,,,,,,,,,
6.65,-3.88,-0.17,,,,,,,,,,,,,,,,,
6.7,-3.889,-0.182,,,,,,,,,,,,,,,,,
6.75,-3.899,-0.192,,,,,,,,,,,,,,,,,
6.8,-3.902,-0.198,,,,,,,,,,,,,,,,,
6.85,-3.908,-0.198,,,,,,,,,,,,,,,,,
6.9,-3.911,-0.192,,,,,,,,,,,,,,,,,
6.95,-3.918,-0.185,,,,,,,,,,,,,,,,,
7,-3.927,-0.173,,,,,,,,,,,,,,,,,
7.05,-3.94,-0.154,,,,,,,,,,,,,,,,,
7.1,-3.958,-0.138,,,,,,,,,,,,,,,,,
7.15,-3.98,-0.116,,,,,,,,,,,,,,,,,
7.2,-4.009,-0.094,,,,,,,,,,,,,,,,,
7.25,-4.043,-0.075,,,,,,,,,,,,,,,,,
7.3,-4.081,-0.057,,,,,,,,,,,,,,,,,
7.35,-4.125,-0.041,,,,,,,,,,,,,,,,,
7.4,-4.172,-0.025,,,,,,,,,,,,,,,,,
7.45,-4.222,-0.016,,,,,,,,,,,,,,,,,
7.5,-4.276,-0.009,,,,,,,,,,,,,,,,,
7.55,-4.326,-0.009,,,,,,,,,,,,,,,,,
7.6,-4.379,-0.009,,,,,,,,,,,,,,,,,
7.65,-4.43,-0.016,,,,,,,,,,,,,,,,,
7.7,-4.48,-0.025,,,,,,,,,,,,,,,,,
7.75,-4.524,-0.038,,,,,,,,,,,,,,,,,
7.8,-4.568,-0.057,,,,,,,,,,,,,,,,,
7.85,-4.606,-0.072,,,,,,,,,,,,,,,,,
7.9,-4.64,-0.091,,,,,,,,,,,,,,,,,
7.95,-4.668,-0.11,,,,,,,,,,,,,,,,,
8,-4.69,-0.129,,,,,,,,,,,,,,,,,
8.05,-4.712,-0.145,,,,,,,,,,,,,,,,,
8.1,-4.725,-0.157,,,,,,,,,,,,,,,,,
8.15,-4.734,-0.167,,,,,,,,,,,,,,,,,
8.2,-4.741,-0.173,,,,,,,,,,,,,,,,,
8.25,-4.747,-0.173,,,,,,,,,,,,,,,,,
8.3,-4.753,-0.17,,,,,,,,,,,,,,,,,
8.35,-4.76,-0.163,,,,,,,,,,,,,,,,,
8.4,-4.769,-0.151,,,,,,,,,,,,,,,,,
8.45,-4.782,-0.135,,,,,,,,,,,,,,,,,
8.5,-4.8,-0.119,,,,,,,,,,,,,,,,,
8.55,-4.822,-0.101,,,,,,,,,,,,,,,,,
8.6,-4.851,-0.079,,,,,,,,,,,,,,,,,
8.65,-4.882,-0.057,,,,,,,,,,,,,,,,,
8.7,-4.92,-0.038,,,,,,,,,,,,,,,,,
8.75,-4.961,-0.022,,,,,,,,,,,,,,,,,
8.8,-5.008,-0.006,,,,,,,,,,,,,,,,,
8.85,-5.055,0.003,,,,,,,,,,,,,,,,,
8.9,-5.105,0.009,,,,,,,,,,,,,,,,,
8.95,-5.155,0.013,,,,,,,,,,,,,,,,,
9,-5.206,0.013,,,,,,,,,,,,,,,,,
9.05,-5.256,0.009,,,,,,,,,,,,,,,,,
9.1,-5.306,5.38E-17,,,,,,,,,,,,,,,,,
9.15,-5.35,-0.013,,,,,,,,,,,,,,,,,
9.2,-5.394,-0.028,,,,,,,,,,,,,,,,,
9.25,-5.432,-0.044,,,,,,,,,,,,,,,,,
9.3,-5.466,-0.063,,,,,,,,,,,,,,,,,
9.35,-5.498,-0.082,,,,,,,,,,,,,,,,,
9.4,-5.52,-0.097,,,,,,,,,,,,,,,,,
9.45,-5.542,-0.113,,,,,,,,,,,,,,,,,
9.5,-5.557,-0.129,,,,,,,,,,,,,,,,,
9.55,-5.567,-0.138,,,,,,,,,,,,,,,,,
9.6,-5.576,-0.145,,,,,,,,,,,,,,,,,
9.65,-5.583,-0.145,,,,,,,,,,,,,,,,,
9.7,-5.589,-0.145,,,,,,,,,,,,,,,,,
9.75,-5.598,-0.138,,,,,,,,,,,,,,,,,
9.8,-5.608,-0.126,,,,,,,,,,,,,,,,,
9.85,-5.62,-0.113,,,,,,,,,,,,,,,,,
9.9,-5.636,-0.097,,,,,,,,,,,,,,,,,
9.95,-5.658,-0.075,,,,,,,,,,,,,,,,,
10,-5.686,-0.057,,,,,,,,,,,,,,,,,
10.05,-5.718,-0.038,,,,,,,,,,,,,,,,,
10.1,-5.755,-0.019,,,,,,,,,,,,,,,,,
10.15,-5.796,3.47E-17,,,,,,,,,,,,,,,,,
10.2,-5.843,0.013,,,,,,,,,,,,,,,,,
10.25,-5.887,0.025,,,,,,,,,,,,,,,,,
10.3,-5.941,0.035,,,,,,,,,,,,,,,,,
10.35,-5.991,0.038,,,,,,,,,,,,,,,,,
10.4,-6.044,0.038,,,,,,,,,,,,,,,,,
10.45,-6.095,0.035,,,,,,,,,,,,,,,,,
10.5,-6.145,0.025,,,,,,,,,,,,,,,,,
10.55,-6.192,0.013,,,,,,,,,,,,,,,,,
10.6,-6.236,3.82E-17,,,,,,,,,,,,,,,,,
10.65,-6.277,-0.016,,,,,,,,,,,,,,,,,
10.7,-6.315,-0.031,,,,,,,,,,,,,,,,,
10.75,-6.346,-0.05,,,,,,,,,,,,,,,,,
10.8,-6.371,-0.069,,,,,,,,,,,,,,,,,
10.85,-6.393,-0.082,,,,,,,,,,,,,,,,,
10.9,-6.409,-0.097,,,,,,,,,,,,,,,,,
10.95,-6.421,-0.107,,,,,,,,,,,,,,,,,
11,-6.434,-0.113,,,,,,,,,,,,,,,,,
11.05,-6.44,-0.116,,,,,,,,,,,,,,,,,
11.1,-6.45,-0.113,,,,,,,,,,,,,,,,,
11.15,-6.459,-0.11,,,,,,,,,,,,,,,,,
11.2,-6.469,-0.101,,,,,,,,,,,,,,,,,
11.25,-6.484,-0.085,,,,,,,,,,,,,,,,,
11.3,-6.5,-0.069,,,,,,,,,,,,,,,,,
11.35,-6.522,-0.053,,,,,,,,,,,,,,,,,
11.4,-6.55,-0.035,,,,,,,,,,,,,,,,,
11.45,-6.582,-0.016,,,,,,,,,,,,,,,,,
11.5,-6.616,0.003,,,,,,,,,,,,,,,,,
11.55,-6.657,0.022,,,,,,,,,,,,,,,,,
11.6,-6.701,0.035,,,,,,,,,,,,,,,,,
11.65,-6.748,0.047,,,,,,,,,,,,,,,,,
11.7,-6.798,0.057,,,,,,,,,,,,,,,,,
11.75,-6.849,0.06,,,,,,,,,,,,,,,,,
11.8,-6.899,0.06,,,,,,,,,,,,,,,,,
11.85,-6.949,0.057,,,,,,,,,,,,,,,,,
11.9,-6.996,0.05,,,,,,,,,,,,,,,,,
11.95,-7.043,0.041,,,,,,,,,,,,,,,,,
12,-7.087,0.025,,,,,,,,,,,,,,,,,
12.05,-7.125,0.013,,,,,,,,,,,,,,,,,
12.1,-7.163,-0.003,,,,,,,,,,,,,,,,,
12.15,-7.194,-0.022,,,,,,,,,,,,,,,,,
12.2,-7.219,-0.038,,,,,,,,,,,,,,,,,
12.25,-7.245,-0.053,,,,,,,,,,,,,,,,,
12.3,-7.263,-0.066,,,,,,,,,,,,,,,,,
12.35,-7.276,-0.075,,,,,,,,,,,,,,,,,
12.4,-7.289,-0.085,,,,,,,,,,,,,,,,,
12.45,-7.298,-0.088,,,,,,,,,,,,,,,,,
12.5,-7.307,-0.085,,,,,,,,,,,,,,,,,
12.55,-7.32,-0.082,,,,,,,,,,,,,,,,,
12.6,-7.329,-0.072,,,,,,,,,,,,,,,,,
12.65,-7.345,-0.06,,,,,,,,,,,,,,,,,
12.7,-7.361,-0.047,,,,,,,,,,,,,,,,,
12.75,-7.383,-0.028,,,,,,,,,,,,,,,,,
12.8,-7.408,-0.009,,,,,,,,,,,,,,,,,
12.85,-7.439,0.006,,,,,,,,,,,,,,,,,
12.9,-7.474,0.025,,,,,,,,,,,,,,,,,
12.95,-7.515,0.041,,,,,,,,,,,,,,,,,
13,-7.556,0.057,,,,,,,,,,,,,,,,,
13.05,-7.603,0.069,,,,,,,,,,,,,,,,,
13.1,-7.65,0.075,,,,,,,,,,,,,,,,,
13.15,-7.7,0.079,,,,,,,,,,,,,,,,,
13.2,-7.75,0.082,,,,,,,,,,,,,,,,,
13.25,-7.801,0.079,,,,,,,,,,,,,,,,,
13.3,-7.848,0.072,,,,,,,,,,,,,,,,,
13.35,-7.895,0.063,,,,,,,,,,,,,,,,,
13.4,-7.939,0.05,,,,,,,,,,,,,,,,,
13.45,-7.98,0.035,,,,,,,,,,,,,,,,,
13.5,-8.014,0.022,,,,,,,,,,,,,,,,,
13.55,-8.046,0.003,,,,,,,,,,,,,,,,,
13.6,-8.074,-0.013,,,,,,,,,,,,,,,,,
13.65,-8.099,-0.025,,,,,,,,,,,,,,,,,
13.7,-8.118,-0.041,,,,,,,,,,,,,,,,,
13.75,-8.134,-0.05,,,,,,,,,,,,,,,,,
13.8,-8.146,-0.057,,,,,,,,,,,,,,,,,
13.85,-8.156,-0.06,,,,,,,,,,,,,,,,,
13.9,-8.168,-0.06,,,,,,,,,,,,,,,,,
13.95,-8.178,-0.057,,,,,,,,,,,,,,,,,
14,-8.19,-0.047,,,,,,,,,,,,,,,,,
14.05,-8.206,-0.038,,,,,,,,,,,,,,,,,
14.1,-8.222,-0.022,,,,,,,,,,,,,,,,,
14.15,-8.244,-0.006,,,,,,,,,,,,,,,,,
14.2,-8.269,0.009,,,,,,,,,,,,,,,,,
14.25,-8.297,0.028,,,,,,,,,,,,,,,,,
14.3,-8.332,0.044,,,,,,,,,,,,,,,,,
14.35,-8.369,0.06,,,,,,,,,,,,,,,,,
14.4,-8.41,0.075,,,,,,,,,,,,,,,,,
14.45,-8.451,0.085,,,,,,,,,,,,,,,,,
14.5,-8.498,0.094,,,,,,,,,,,,,,,,,
14.55,-8.545,0.097,,,,,,,,,,,,,,,,,
14.6,-8.592,0.101,,,,,,,,,,,,,,,,,
14.65,-8.643,0.097,,,,,,,,,,,,,,,,,
14.7,-8.69,0.091,,,,,,,,,,,,,,,,,
14.75,-8.734,0.082,,,,,,,,,,,,,,,,,
14.8,-8.778,0.069,,,,,,,,,,,,,,,,,
14.85,-8.815,0.057,,,,,,,,,,,,,,,,,
14.9,-8.85,0.041,,,,,,,,,,,,,,,,,
14.95,-8.884,0.025,,,,,,,,,,,,,,,,,
15,-8.91,0.009,,,,,,,,,,,,,,,,,
15.05,-8.935,-0.003,,,,,,,,,,,,,,,,,
15.1,-8.954,-0.016,,,,,,,,,,,,,,,,,
15.15,-8.969,-0.025,,,,,,,,,,,,,,,,,
15.2,-8.985,-0.031,,,,,,,,,,,,,,,,,
15.25,-8.994,-0.038,,,,,,,,,,,,,,,,,
15.3,-9.007,-0.038,,,,,,,,,,,,,,,,,
15.35,-9.02,-0.031,,,,,,,,,,,,,,,,,
15.4,-9.032,-0.025,,,,,,,,,,,,,,,,,
15.45,-9.048,-0.013,,,,,,,,,,,,,,,,,
15.5,-9.064,-3.47E-18,,,,,,,,,,,,,,,,,
15.55,-9.085,0.016,,,,,,,,,,,,,,,,,
15.6,-9.111,0.031,,,,,,,,,,,,,,,,,
