Time,Angle1,Angle2,,,,,,,,,,,,,,,,,
5.3,-2.441,0.214,,,,,,,,,,,,,,,,,
5.35,-2.482,0.207,,,,,,,,,,,,,,,,,
5.4,-2.523,0.198,,,,,,,,,,,,,,,,,
5.45,-2.56,0.185,,,,,,,,,,,,,,,,,
5.5,-2.595,0.17,,,,,,,,,,,,,,,,,
5.55,-2.623,0.154,,,,,,,,,,,,,,,,,
5.6,-2.645,0.135,,,,,,,,,,,,,,,,,
5.65,-2.664,0.119,,,,,,,,,,,,,,,,,
5.7,-2.677,0.107,,,,,,,,,,,,,,,,,
5.75,-2.686,0.094,,,,,,,,,,,,,,,,,
5.8,-2.692,0.091,,,,,,,,,,,,,,,,,
5.85,-2.695,0.091,,,,,,,,,,,,,,,,,
5.9,-2.702,0.094,,,,,,,,,,,,,,,,,
5.95,-2.708,0.104,,,,,,,,,,,,,,,,,
6,-2.717,0.119,,,,,,,,,,,,,,,,,
6.05,-2.733,0.135,,,,,,,,,,,,,,,,,
6.1,-2.752,0.154,,,,,,,,,,,,,,,,,
6.15,-2.777,0.173,,,,,,,,,,,,,,,,,
6.2,-2.805,0.188,,,,,,,,,,,,,,,,,
6.25,-2.843,0.204,,,,,,,,,,,,,,,,,
6.3,-2.881,0.217,,,,,,,,,,,,,,,,,
6.35,-2.919,0.226,,,,,,,,,,,,,,,,,
6.4,-2.963,0.229,,,,,,,,,,,,,,,,,
6.45,-3.007,0.229,,,,,,,,,,,,,,,,,
6.5,-3.047,0.223,,,,,,,,,,,,,,,,,
6.55,-3.085,0.21,,,,,,,,,,,,,,,,,
6.6,-3.12,0.198,,,,,,,,,,,,,,,,,
6.65,-3.154,0.182,,,,,,,,,,,,,,,,,
6.7,-3.179,0.167,,,,,,,,,,,,,,,,,
6.75,-3.201,0.148,,,,,,,,,,,,,,,,,
6.8,-3.217,0.132,,,,,,,,,,,,,,,,,
6.85,-3.23,0.123,,,,,,,,,,,,,,,,,
6.9,-3.239,0.113,,,,,,,,,,,,,,,,,
6.95,-3.245,0.107,,,,,,,,,,,,,,,,,
