"Time (s) Run #1","x-Position, Object #1 (m) Run #1","y-Position, Object #1 (m) Run #1","x-Velocity, Object #1 (m/s) Run #1","y-Velocity, Object #1 (m/s) Run #1","x-Acceleration, Object #1 (m/s²) Run #1","y-Acceleration, Object #1 (m/s²) Run #1","Time (s) Run #2","Angle, 004-000 (rad) Run #2","Angular Velocity, 004-000 (rad/s) Run #2","Angular Acceleration, 004-000 (rad/s²) Run #2","Position, 004-000 (m) Run #2","Velocity, 004-000 (m/s) Run #2","Acceleration, 004-000 (m/s²) Run #2","Angle, 670-231 (rad) Run #2","Angular Velocity, 670-231 (rad/s) Run #2","Angular Acceleration, 670-231 (rad/s²) Run #2","Position, 670-231 (m) Run #2","Velocity, 670-231 (m/s) Run #2","Acceleration, 670-231 (m/s²) Run #2"
,,,,,,,1.850,0.107,0.126,0.070,0.0025,0.003,0.002,0.006,0.000,0.000,1.5000E-4,0.000,0.000
,,,,,,,1.900,0.113,0.126,0.035,0.0027,0.003,8.333E-4,0.006,0.000,0.000,1.5000E-4,0.000,0.000
,,,,,,,1.950,0.119,0.126,-0.035,0.0028,0.003,-8.333E-4,0.006,0.000,0.000,1.5000E-4,0.000,0.000
,,,,,,,2.000,0.126,0.126,-0.105,0.0030,0.003,-0.002,0.006,0.000,0.000,1.5000E-4,0.000,0.000
,,,,,,,2.050,0.132,0.115,-0.140,0.0031,0.003,-0.003,0.006,0.000,0.000,1.5000E-4,0.000,0.000
,,,,,,,2.100,0.138,0.105,-0.105,0.0033,0.002,-0.002,0.006,0.000,0.000,1.5000E-4,0.000,0.000
,,,,,,,2.150,0.141,0.105,0.000,0.0034,0.002,1.735E-17,0.006,0.000,0.000,1.5000E-4,0.000,0.000
,,,,,,,2.200,0.148,0.105,0.070,0.0035,0.002,0.002,0.006,0.000,0.000,1.5000E-4,0.000,0.000
,,,,,,,2.250,0.154,0.115,0.070,0.0037,0.003,0.002,0.006,0.000,0.000,1.5000E-4,0.000,0.000
,,,,,,,2.300,0.157,0.115,0.035,0.0037,0.003,8.333E-4,0.006,0.000,0.000,1.5000E-4,0.000,0.000
