"Time (s) Run #1","x-Position, Object #1 (m) Run #1","y-Position, Object #1 (m) Run #1","x-Velocity, Object #1 (m/s) Run #1","y-Velocity, Object #1 (m/s) Run #1","x-Acceleration, Object #1 (m/s²) Run #1","y-Acceleration, Object #1 (m/s²) Run #1","Time (s) Run #2","Angle, 004-000 (rad) Run #2","Angular Velocity, 004-000 (rad/s) Run #2","Angular Acceleration, 004-000 (rad/s²) Run #2","Position, 004-000 (m) Run #2","Velocity, 004-000 (m/s) Run #2","Acceleration, 004-000 (m/s²) Run #2","Angle, 670-231 (rad) Run #2","Angular Velocity, 670-231 (rad/s) Run #2","Angular Acceleration, 670-231 (rad/s²) Run #2","Position, 670-231 (m) Run #2","Velocity, 670-231 (m/s) Run #2","Acceleration, 670-231 (m/s²) Run #2"
,,,,,,,1.850,-0.748,-0.890,-0.349,-0.0178,-0.021,-0.008,0.167,0.063,-2.025,0.0040,0.001,-0.048
,,,,,,,1.900,-0.792,-0.890,0.209,-0.0189,-0.021,0.005,0.170,-0.042,-1.990,0.0040,-1.000E-3,-0.047
,,,,,,,1.950,-0.839,-0.869,0.733,-0.0200,-0.021,0.017,0.163,-0.136,-1.850,0.0039,-0.003,-0.044
,,,,,,,2.000,-0.880,-0.817,1.222,-0.0210,-0.019,0.029,0.154,-0.230,-1.641,0.0037,-0.005,-0.039
,,,,,,,2.050,-0.920,-0.744,1.710,-0.0220,-0.018,0.041,0.141,-0.304,-1.292,0.0034,-0.007,-0.031
,,,,,,,2.100,-0.955,-0.649,2.129,-0.0228,-0.015,0.051,0.123,-0.367,-0.733,0.0029,-0.009,-0.017
,,,,,,,2.150,-0.986,-0.524,2.374,-0.0235,-0.012,0.057,0.104,-0.387,-0.070,0.0025,-0.009,-0.002
,,,,,,,2.200,-1.008,-0.398,2.304,-0.0241,-0.009,0.055,0.082,-0.367,0.559,0.0019,-0.009,0.013
,,,,,,,2.250,-1.024,-0.283,1.990,-0.0244,-0.007,0.047,0.066,-0.325,1.012,0.0016,-0.008,0.024
,,,,,,,2.300,-1.037,-0.199,1.606,-0.0247,-0.005,0.038,0.050,-0.262,1.396,0.0012,-0.006,0.033
,,,,,,,2.350,-1.043,-0.126,1.187,-0.0249,-0.003,0.028,0.038,-0.188,1.780,9.0000E-4,-0.004,0.042
,,,,,,,2.400,-1.049,-0.073,0.663,-0.0250,-0.002,0.016,0.031,-0.084,2.094,7.5000E-4,-0.002,0.050
,,,,,,,2.450,-1.049,-0.052,-0.035,-0.0250,-0.001,-8.333E-4,0.028,0.031,2.234,6.7500E-4,7.500E-4,0.053
,,,,,,,2.500,-1.052,-0.073,-0.768,-0.0251,-0.002,-0.018,0.035,0.147,2.094,8.2500E-4,0.003,0.050
,,,,,,,2.550,-1.056,-0.136,-1.361,-0.0252,-0.003,-0.032,0.044,0.251,1.745,0.0010,0.006,0.042
,,,,,,,2.600,-1.065,-0.220,-1.745,-0.0254,-0.005,-0.042,0.060,0.325,1.257,0.0014,0.008,0.030
,,,,,,,2.650,-1.078,-0.314,-1.990,-0.0257,-0.007,-0.047,0.079,0.377,0.733,0.0019,0.009,0.017
,,,,,,,2.700,-1.096,-0.419,-2.164,-0.0262,-0.010,-0.052,0.097,0.398,0.209,0.0023,0.009,0.005
,,,,,,,2.750,-1.118,-0.534,-2.234,-0.0267,-0.013,-0.053,0.119,0.398,-0.349,0.0028,0.009,-0.008
,,,,,,,2.800,-1.150,-0.649,-2.094,-0.0274,-0.015,-0.050,0.138,0.367,-0.908,0.0033,0.009,-0.022
,,,,,,,2.850,-1.184,-0.754,-1.710,-0.0283,-0.018,-0.041,0.157,0.304,-1.396,0.0037,0.007,-0.033
,,,,,,,2.900,-1.225,-0.827,-1.152,-0.0292,-0.020,-0.027,0.170,0.220,-1.710,0.0040,0.005,-0.041
,,,,,,,2.950,-1.269,-0.869,-0.559,-0.0303,-0.021,-0.013,0.179,0.126,-1.885,0.0043,0.003,-0.045
,,,,,,,3.000,-1.313,-0.880,-0.035,-0.0313,-0.021,-8.333E-4,0.182,0.031,-1.990,0.0043,7.500E-4,-0.047
,,,,,,,3.050,-1.357,-0.869,0.454,-0.0324,-0.021,0.011,0.182,-0.073,-2.025,0.0043,-0.002,-0.048
,,,,,,,3.100,-1.401,-0.838,0.942,-0.0334,-0.020,0.022,0.176,-0.178,-1.885,0.0042,-0.004,-0.045
,,,,,,,3.150,-1.442,-0.775,1.396,-0.0344,-0.018,0.033,0.163,-0.272,-1.466,0.0039,-0.006,-0.035
,,,,,,,3.200,-1.480,-0.691,1.780,-0.0353,-0.016,0.042,0.148,-0.335,-0.873,0.0035,-0.008,-0.021
,,,,,,,3.250,-1.511,-0.597,2.059,-0.0361,-0.014,0.049,0.129,-0.356,-0.279,0.0031,-0.008,-0.007
,,,,,,,3.300,-1.539,-0.482,2.234,-0.0367,-0.011,0.053,0.110,-0.356,0.209,0.0026,-0.008,0.005
,,,,,,,3.350,-1.561,-0.367,2.199,-0.0373,-0.009,0.052,0.094,-0.335,0.663,0.0022,-0.008,0.016
,,,,,,,3.400,-1.574,-0.251,1.885,-0.0376,-0.006,0.045,0.075,-0.293,1.187,0.0018,-0.007,0.028
,,,,,,,3.450,-1.587,-0.168,1.396,-0.0379,-0.004,0.033,0.063,-0.220,1.676,0.0015,-0.005,0.040
,,,,,,,3.500,-1.590,-0.115,0.838,-0.0379,-0.003,0.020,0.053,-0.115,1.990,0.0013,-0.003,0.047
,,,,,,,3.550,-1.596,-0.084,0.314,-0.0381,-0.002,0.007,0.050,-0.010,2.059,0.0012,-2.500E-4,0.049
,,,,,,,3.600,-1.599,-0.084,-0.244,-0.0382,-0.002,-0.006,0.053,0.094,1.955,0.0013,0.002,0.047
,,,,,,,3.650,-1.602,-0.105,-0.873,-0.0382,-0.002,-0.021,0.060,0.188,1.745,0.0014,0.004,0.042
,,,,,,,3.700,-1.608,-0.168,-1.501,-0.0384,-0.004,-0.036,0.072,0.272,1.431,0.0017,0.006,0.034
,,,,,,,3.750,-1.618,-0.262,-1.955,-0.0386,-0.006,-0.047,0.088,0.335,1.047,0.0021,0.008,0.025
,,,,,,,3.800,-1.634,-0.377,-2.094,-0.0390,-0.009,-0.050,0.107,0.377,0.593,0.0025,0.009,0.014
,,,,,,,3.850,-1.656,-0.482,-2.025,-0.0395,-0.011,-0.048,0.126,0.398,0.035,0.0030,0.009,8.333E-4
,,,,,,,3.900,-1.684,-0.576,-1.920,-0.0402,-0.014,-0.046,0.148,0.387,-0.628,0.0035,0.009,-0.015
,,,,,,,3.950,-1.712,-0.670,-1.815,-0.0409,-0.016,-0.043,0.167,0.335,-1.222,0.0040,0.008,-0.029
,,,,,,,4.000,-1.750,-0.764,-1.501,-0.0418,-0.018,-0.036,0.182,0.251,-1.606,0.0043,0.006,-0.038
,,,,,,,4.050,-1.791,-0.838,-0.942,-0.0427,-0.020,-0.022,0.192,0.168,-1.780,0.0046,0.004,-0.042
,,,,,,,4.100,-1.835,-0.859,-0.314,-0.0438,-0.020,-0.007,0.198,0.073,-1.850,0.0047,0.002,-0.044
,,,,,,,4.150,-1.879,-0.859,0.209,-0.0448,-0.020,0.005,0.201,-0.021,-1.850,0.0048,-5.000E-4,-0.044
,,,,,,,4.200,-1.920,-0.838,0.663,-0.0458,-0.020,0.016,0.195,-0.115,-1.745,0.0046,-0.003,-0.042
,,,,,,,4.250,-1.963,-0.796,1.152,-0.0469,-0.019,0.027,0.188,-0.199,-1.536,0.0045,-0.005,-0.037
,,,,,,,4.300,-2.001,-0.723,1.571,-0.0478,-0.017,0.037,0.176,-0.272,-1.187,0.0042,-0.006,-0.028
,,,,,,,4.350,-2.036,-0.628,1.850,-0.0486,-0.015,0.044,0.160,-0.325,-0.733,0.0038,-0.008,-0.017
,,,,,,,4.400,-2.064,-0.534,1.990,-0.0493,-0.013,0.047,0.141,-0.346,-0.209,0.0034,-0.008,-0.005
,,,,,,,4.450,-2.089,-0.429,2.025,-0.0499,-0.010,0.048,0.126,-0.346,0.314,0.0030,-0.008,0.007
,,,,,,,4.500,-2.108,-0.325,1.920,-0.0503,-0.008,0.046,0.107,-0.314,0.838,0.0025,-0.007,0.020
,,,,,,,4.550,-2.121,-0.230,1.606,-0.0506,-0.005,0.038,0.091,-0.262,1.326,0.0022,-0.006,0.032
,,,,,,,4.600,-2.130,-0.157,1.152,-0.0508,-0.004,0.027,0.082,-0.178,1.676,0.0019,-0.004,0.040
,,,,,,,4.650,-2.136,-0.115,0.628,-0.0510,-0.003,0.015,0.072,-0.084,1.850,0.0017,-0.002,0.044
,,,,,,,4.700,-2.139,-0.094,0.070,-0.0511,-0.002,0.002,0.072,0.010,1.885,0.0017,2.500E-4,0.045
,,,,,,,4.750,-2.146,-0.105,-0.524,-0.0512,-0.002,-0.012,0.075,0.105,1.885,0.0018,0.002,0.045
,,,,,,,4.800,-2.149,-0.147,-1.117,-0.0513,-0.003,-0.027,0.082,0.199,1.780,0.0019,0.005,0.042
