Time,Sensor,Coil
0,541,3
1,541,12
1,541,14
2,541,9
2,542,26
3,542,19
3,542,8
11,542,7
21,542,7
32,542,6
43,542,12
54,542,11
65,542,14
76,541,16
88,540,16
100,541,15
112,541,20
124,541,15
137,540,17
149,540,18
162,540,15
175,540,15
187,540,18
199,539,16
211,539,16
224,539,14
237,539,11
249,539,10
262,539,11
274,539,10
286,539,12
300,539,9
311,539,7
322,539,10
334,538,10
347,538,11
360,538,12
372,538,14
385,538,16
397,538,15
409,538,17
421,538,14
435,538,15
447,538,20
459,539,16
472,538,15
484,539,13
497,538,11
509,539,12
522,539,10
534,540,11
546,539,9
558,540,8
570,540,6
581,540,2
592,541,0
604,540,0
615,541,0
627,538,0
638,535,0
650,533,0
661,533,0
672,533,2
684,532,25
697,533,56
709,534,82
721,534,88
734,534,76
746,534,62
759,534,51
772,534,40
784,534,30
796,534,22
808,534,20
821,534,13
834,534,8
845,534,2
857,534,0
868,534,0
879,534,0
890,534,0
903,534,4
914,534,0
925,534,0
936,534,0
948,534,0
960,534,0
971,533,0
983,533,1
994,532,16
1006,533,3
1018,532,0
1032,531,0
1044,530,0
1056,530,20
1070,531,28
1083,531,7
1096,532,13
1110,532,36
1123,532,15
1136,532,0
1148,533,5
1162,533,7
1174,533,4
1186,533,6
1199,533,23
1212,533,18
1226,535,6
1239,533,12
1252,534,39
1265,534,58
1278,534,26
1293,534,27
1306,533,35
1319,534,38
1333,533,38
1346,533,32
1360,534,16
1374,533,7
1386,533,2
1398,533,0
1411,533,0
1423,533,0
1436,533,0
1448,533,0
1461,533,0
1473,532,0
1485,532,0
1499,532,0
1511,531,0
1523,530,21
1537,529,33
1550,528,26
1564,527,10
1577,525,1
1590,523,16
1603,524,16
1616,525,5
1630,527,3
1642,529,15
1655,530,15
1669,532,12
1682,532,14
1696,533,22
1710,532,26
1723,532,31
1736,532,41
1750,533,46
1764,533,45
1777,533,33
1790,533,14
1804,533,5
1816,533,19
1830,533,32
1844,534,34
1857,534,26
1870,533,1
1883,533,0
1896,533,0
1908,533,0
1921,533,0
1933,532,8
1945,533,0
1958,532,0
1971,533,0
1983,532,3
1995,532,10
2009,531,9
2021,530,10
2035,530,7
2048,530,10
2061,530,12
2074,530,9
2086,529,4
2100,530,14
2113,527,20
2126,527,32
2140,527,15
2153,528,0
2166,531,0
2179,530,20
2192,531,35
2205,532,34
2219,532,38
2233,532,36
2246,533,35
2259,533,34
2273,533,29
2286,533,23
2300,533,20
2314,532,17
2327,533,15
2340,535,11
2354,533,10
2368,533,4
2380,534,0
2393,533,0
2405,533,0
2417,533,0
2430,533,0
2443,533,8
2455,533,8
2467,533,4
2480,533,1
2493,533,4
2505,532,20
2519,532,33
2532,531,24
2545,531,11
2560,532,7
2572,532,10
2585,532,5
2597,532,5
2610,532,7
2623,533,8
2635,533,13
2649,533,15
2662,533,20
2675,533,22
2690,533,29
2703,533,31
2716,533,37
2729,533,38
2743,533,32
2757,534,28
2770,533,26
2784,533,19
2797,533,14
2810,533,14
2825,533,10
2838,534,6
2850,533,0
2863,533,0
2875,533,0
2887,534,0
2900,533,0
2913,532,0
2925,532,6
2937,532,10
2951,531,7
2964,530,10
2977,530,10
2991,530,12
3004,529,13
3017,532,16
3032,530,12
3045,530,11
3058,530,10
3072,532,12
3085,530,12
3099,529,14
3112,530,15
3126,531,18
3139,531,20
3152,531,21
3167,532,24
3180,532,32
3193,533,35
3207,533,40
3220,533,42
3234,533,38
3248,533,19
3261,533,12
3274,534,8
3287,535,4
3300,533,4
3312,534,2
3324,533,0
3337,532,0
3349,534,0
3362,533,0
3375,532,0
3387,533,0
3399,532,0
3411,532,0
3425,532,3
3437,532,7
3449,532,10
3463,532,12
3476,532,15
3490,534,18
3504,532,15
3517,531,16
3530,532,14
3544,532,10
3558,532,6
3570,532,4
3582,533,6
3595,533,17
3608,533,22
3622,533,26
3636,533,28
3649,533,29
3662,533,34
3676,533,36
3690,535,34
3703,533,31
3717,533,32
3730,533,25
3743,533,24
3758,534,18
3771,533,10
3784,533,4
3796,533,0
3809,533,0
3822,533,0
3834,533,0
3847,533,0
3859,532,0
3871,532,0
3884,531,0
3897,531,4
3909,530,8
3921,530,8
3934,529,12
3947,529,11
3961,528,11
3975,528,12
3988,528,9
4000,529,7
4013,529,8
4026,530,9
4038,530,6
4050,531,11
4064,531,13
4077,532,16
4091,531,20
4105,531,22
4118,532,25
4131,532,28
4145,532,29
4159,533,32
4172,533,31
4186,534,32
4199,533,29
4212,533,24
4227,533,18
4240,533,14
4253,533,9
4265,535,4
4278,533,0
4291,533,0
4303,533,0
4316,533,0
4328,533,0
4340,533,0
4354,532,0
4366,532,1
4378,533,4
4390,532,7
4403,532,14
4416,533,15
4430,532,16
4444,532,16
4457,532,15
4470,533,14
4484,533,14
4498,532,12
4511,532,14
4525,532,12
4538,531,12
4551,532,11
