Time,Coil
0,0
0,0
0,0
1,3
1,2
1,0
1,0
2,0
2,0
2,0
2,0
3,0
3,0
5,0
10,0
16,0
22,0
28,0
34,0
41,0
48,0
54,0
60,0
66,0
72,0
78,0
84,0
91,0
97,0
103,0
111,0
118,0
125,0
133,0
140,0
147,0
154,0
161,0
168,0
177,0
184,0
191,0
198,0
205,0
212,0
220,0
227,0
234,0
242,0
249,0
257,0
264,0
271,0
278,0
285,0
292,0
300,0
308,0
315,0
322,0
329,0
336,0
344,0
351,0
358,0
365,0
372,0
380,0
388,0
395,0
402,0
409,0
416,0
423,0
431,0
438,0
446,0
453,0
460,0
467,0
475,0
482,0
489,0
496,0
503,0
512,0
519,0
526,0
533,0
540,0
547,0
555,0
562,0
569,0
577,0
584,0
591,0
599,0
606,0
613,0
620,0
627,0
634,0
643,0
650,0
657,0
664,0
671,0
678,0
686,0
693,0
700,1
708,7
715,14
723,19
732,20
740,19
748,13
756,12
764,12
774,12
782,12
790,0
797,0
804,0
812,0
819,0
826,0
833,0
841,0
848,0
856,0
863,0
870,1
877,18
885,33
893,50
902,65
911,74
919,80
927,70
935,58
944,48
952,31
960,26
968,22
977,15
986,11
994,12
1002,12
1011,8
1019,2
1028,0
1036,0
1045,0
1053,0
1061,0
1070,0
1078,0
1086,0
1094,0
1102,0
1112,0
1120,0
1128,0
1136,0
1144,0
1153,0
1161,0
1169,0
1178,0
1186,0
1195,0
1203,0
1211,1
1219,10
1228,8
1236,13
1247,11
1256,9
1264,8
1272,8
1281,2
1289,0
1297,0
1306,0
1314,0
1323,0
1331,0
1339,0
1347,0
1355,0
1363,8
1373,27
1382,47
1391,66
1400,71
1410,71
1419,66
1428,52
1437,44
1447,33
1457,24
1466,13
1475,8
1483,7
1491,6
1500,3
1509,1
1517,0
1525,2
1533,0
1542,0
1550,0
1558,0
1566,0
1575,0
1584,0
1592,0
1600,0
1608,0
1616,0
1625,0
1633,0
1642,0
1650,0
1658,0
1667,0
1675,0
1683,0
1691,0
1699,0
1709,10
1718,13
1727,13
1736,11
1745,6
1754,3
1762,0
1770,0
1779,0
1787,0
1796,0
1804,0
1812,0
1820,0
1828,0
1837,4
1846,16
1855,32
1864,49
1873,58
1883,66
1892,66
1901,60
1911,48
1921,39
1930,30
1939,26
1948,21
1957,20
1967,16
1977,10
1986,6
1994,0
2002,0
2011,0
2019,0
2027,0
2035,0
2044,0
2053,0
2061,0
2069,0
2077,0
2085,0
2094,0
2102,0
2111,0
2119,0
2127,0
2136,0
2144,0
2152,0
2160,0
2168,0
2178,0
2186,0
2194,0
2202,0
2210,0
2219,0
2227,0
2235,0
2244,0
2252,4
2260,1
2269,8
2277,8
2285,9
